#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,height,weight,base_experience,sprites
131,Starmie,Water,Psychic,60,75,85,100,85,115,1,False,11,800,182,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/starmie.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/starmie.gif'}"
133,Scyther,Bug,Flying,70,110,80,55,80,105,1,False,15,560,100,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/scyther.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/scyther.gif'}"
134,Jynx,Ice,Psychic,65,50,35,115,95,95,1,False,14,406,159,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/jynx.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/jynx.gif'}"
135,Electabuzz,Electric,Normal,65,83,57,95,85,105,1,False,11,300,172,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/electabuzz.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/electabuzz.gif'}"
136,Magmar,Fire,Normal,65,95,57,100,85,93,1,False,13,445,173,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/magmar.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/magmar.gif'}"
137,Pinsir,Bug,Normal,65,125,100,55,70,85,1,False,15,550,175,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/pinsir.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/pinsir.gif'}"
139,Tauros,Normal,Normal,75,100,95,40,70,110,1,False,14,884,172,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/tauros.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/tauros.gif'}"
140,Magikarp,Water,Normal,20,10,55,15,20,80,1,False,9,100,40,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/magikarp.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/magikarp.gif'}"
141,Gyarados,Water,Flying,95,125,79,60,100,81,1,False,65,2350,189,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/gyarados.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/gyarados.gif'}"
143,Lapras,Water,Ice,130,85,80,85,95,60,1,False,25,2200,187,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/lapras.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/lapras.gif'}"
144,Ditto,Normal,Normal,48,48,48,48,48,48,1,False,3,40,101,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/ditto.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/ditto.gif'}"
145,Eevee,Normal,Normal,55,55,50,45,65,55,1,False,3,65,65,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/eevee.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/eevee.gif'}"
146,Vaporeon,Water,Normal,130,65,60,110,95,65,1,False,10,290,184,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/vaporeon.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/vaporeon.gif'}"
147,Jolteon,Electric,Normal,65,65,60,110,95,130,1,False,8,245,184,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/jolteon.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/jolteon.gif'}"
148,Flareon,Fire,Normal,65,130,60,95,110,65,1,False,9,250,184,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/flareon.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/flareon.gif'}"
149,Porygon,Normal,Normal,65,60,70,85,75,40,1,False,8,365,79,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/porygon.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/porygon.gif'}"
150,Omanyte,Rock,Water,35,40,100,90,55,35,1,False,4,75,71,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/omanyte.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/omanyte.gif'}"
151,Omastar,Rock,Water,70,60,125,115,70,55,1,False,10,350,173,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/omastar.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/omastar.gif'}"
152,Kabuto,Rock,Water,30,80,90,55,45,55,1,False,5,115,71,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/kabuto.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/kabuto.gif'}"
153,Kabutops,Rock,Water,60,115,105,65,70,80,1,False,13,405,173,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/kabutops.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/kabutops.gif'}"
154,Aerodactyl,Rock,Flying,80,105,65,60,75,130,1,False,18,590,180,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/aerodactyl.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/aerodactyl.gif'}"
156,Snorlax,Normal,Normal,160,110,65,65,110,30,1,False,21,4600,189,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/snorlax.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/snorlax.gif'}"
157,Articuno,Ice,Flying,90,85,100,95,125,85,1,True,17,554,261,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/articuno.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/articuno.gif'}"
158,Zapdos,Electric,Flying,90,90,85,125,90,100,1,True,16,526,261,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/zapdos.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/zapdos.gif'}"
159,Moltres,Fire,Flying,90,100,90,125,85,90,1,True,20,600,261,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/moltres.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/moltres.gif'}"
160,Dratini,Dragon,Normal,41,64,45,50,50,50,1,False,18,33,60,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/dratini.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/dratini.gif'}"
161,Dragonair,Dragon,Normal,61,84,65,70,70,70,1,False,40,165,147,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/dragonair.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/dragonair.gif'}"
162,Dragonite,Dragon,Flying,91,134,95,100,100,80,1,False,22,2100,270,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/dragonite.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/dragonite.gif'}"
163,Mewtwo,Psychic,Normal,106,110,90,154,90,130,1,True,20,1220,306,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/mewtwo.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/mewtwo.gif'}"
166,Mew,Psychic,Normal,100,100,100,100,100,100,1,False,4,40,270,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/mew.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/mew.gif'}"
167,Chikorita,Grass,Normal,45,49,65,49,65,45,2,False,9,64,64,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/chikorita.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/chikorita.gif'}"
168,Bayleef,Grass,Normal,60,62,80,63,80,60,2,False,12,158,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/bayleef.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/bayleef.gif'}"
169,Meganium,Grass,Normal,80,82,100,83,100,80,2,False,18,1005,236,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/meganium.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/meganium.gif'}"
170,Cyndaquil,Fire,Normal,39,52,43,60,50,65,2,False,5,79,62,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/cyndaquil.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/cyndaquil.gif'}"
171,Quilava,Fire,Normal,58,64,58,80,65,80,2,False,9,190,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/quilava.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/quilava.gif'}"
172,Typhlosion,Fire,Normal,78,84,78,109,85,100,2,False,17,795,240,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/typhlosion.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/typhlosion.gif'}"
173,Totodile,Water,Normal,50,65,64,44,48,43,2,False,6,95,63,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/totodile.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/totodile.gif'}"
174,Croconaw,Water,Normal,65,80,80,59,63,58,2,False,11,250,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/croconaw.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/croconaw.gif'}"
175,Feraligatr,Water,Normal,85,105,100,79,83,78,2,False,23,888,239,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/feraligatr.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/feraligatr.gif'}"
176,Sentret,Normal,Normal,35,46,34,35,45,20,2,False,8,60,43,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/sentret.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/sentret.gif'}"
177,Furret,Normal,Normal,85,76,64,45,55,90,2,False,18,325,145,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/furret.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/furret.gif'}"
178,Hoothoot,Normal,Flying,60,30,30,36,56,50,2,False,7,212,52,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/hoothoot.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/hoothoot.gif'}"
179,Noctowl,Normal,Flying,100,50,50,76,96,70,2,False,16,408,158,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/noctowl.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/noctowl.gif'}"
180,Ledyba,Bug,Flying,40,20,30,40,80,55,2,False,10,108,53,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/ledyba.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/ledyba.gif'}"
181,Ledian,Bug,Flying,55,35,50,55,110,85,2,False,14,356,137,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/ledian.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/ledian.gif'}"
182,Spinarak,Bug,Poison,40,60,40,40,40,30,2,False,5,85,50,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/spinarak.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/spinarak.gif'}"
183,Ariados,Bug,Poison,70,90,70,60,60,40,2,False,11,335,140,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/ariados.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/ariados.gif'}"
184,Crobat,Poison,Flying,85,90,80,70,80,130,2,False,18,750,241,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/crobat.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/crobat.gif'}"
185,Chinchou,Water,Electric,75,38,38,56,56,67,2,False,5,120,66,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/chinchou.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/chinchou.gif'}"
186,Lanturn,Water,Electric,125,58,58,76,76,67,2,False,12,225,161,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/lanturn.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/lanturn.gif'}"
187,Pichu,Electric,Normal,20,40,15,35,35,60,2,False,3,20,41,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/pichu.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/pichu.gif'}"
188,Cleffa,Fairy,Normal,50,25,28,45,55,15,2,False,3,30,44,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/cleffa.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/cleffa.gif'}"
189,Igglybuff,Normal,Fairy,90,30,15,40,20,15,2,False,3,10,42,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/igglybuff.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/igglybuff.gif'}"
190,Togepi,Fairy,Normal,35,20,65,40,65,20,2,False,3,15,49,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/togepi.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/togepi.gif'}"
191,Togetic,Fairy,Flying,55,40,85,80,105,40,2,False,6,32,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/togetic.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/togetic.gif'}"
192,Natu,Psychic,Flying,40,50,45,70,45,70,2,False,2,20,64,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/natu.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/natu.gif'}"
193,Xatu,Psychic,Flying,65,75,70,95,70,95,2,False,15,150,165,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/xatu.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/xatu.gif'}"
194,Mareep,Electric,Normal,55,40,40,65,45,35,2,False,6,78,56,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/mareep.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/mareep.gif'}"
195,Flaaffy,Electric,Normal,70,55,55,80,60,45,2,False,8,133,128,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/flaaffy.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/flaaffy.gif'}"
196,Ampharos,Electric,Normal,90,75,85,115,90,55,2,False,14,615,230,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/ampharos.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/ampharos.gif'}"
198,Bellossom,Grass,Normal,75,80,95,90,100,50,2,False,4,58,221,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/bellossom.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/bellossom.gif'}"
199,Marill,Water,Fairy,70,20,50,20,50,40,2,False,4,85,88,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/marill.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/marill.gif'}"
200,Azumarill,Water,Fairy,100,50,80,60,80,50,2,False,8,285,189,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/azumarill.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/azumarill.gif'}"
201,Sudowoodo,Rock,Normal,70,100,115,30,65,30,2,False,12,380,144,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/sudowoodo.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/sudowoodo.gif'}"
202,Politoed,Water,Normal,90,75,75,90,100,70,2,False,11,339,225,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/politoed.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/politoed.gif'}"
203,Hoppip,Grass,Flying,35,35,40,35,55,50,2,False,4,5,50,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/hoppip.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/hoppip.gif'}"
204,Skiploom,Grass,Flying,55,45,50,45,65,80,2,False,6,10,119,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/skiploom.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/skiploom.gif'}"
205,Jumpluff,Grass,Flying,75,55,70,55,95,110,2,False,8,30,207,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/jumpluff.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/jumpluff.gif'}"
206,Aipom,Normal,Normal,55,70,55,40,55,85,2,False,8,115,72,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/aipom.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/aipom.gif'}"
207,Sunkern,Grass,Normal,30,30,30,30,30,30,2,False,3,18,36,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/sunkern.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/sunkern.gif'}"
208,Sunflora,Grass,Normal,75,75,55,105,85,30,2,False,8,85,149,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/sunflora.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/sunflora.gif'}"
209,Yanma,Bug,Flying,65,65,45,75,45,95,2,False,12,380,78,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/yanma.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/yanma.gif'}"
210,Wooper,Water,Ground,55,45,45,25,25,15,2,False,4,85,42,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/wooper.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/wooper.gif'}"
211,Quagsire,Water,Ground,95,85,85,65,65,35,2,False,14,750,151,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/quagsire.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/quagsire.gif'}"
212,Espeon,Psychic,Normal,65,65,60,130,95,110,2,False,9,265,184,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/espeon.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/espeon.gif'}"
213,Umbreon,Dark,Normal,95,65,110,60,130,65,2,False,10,270,184,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/umbreon.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/umbreon.gif'}"
214,Murkrow,Dark,Flying,60,85,42,85,42,91,2,False,5,21,81,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/murkrow.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/murkrow.gif'}"
215,Slowking,Water,Psychic,95,75,80,100,110,30,2,False,20,795,172,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/slowking.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/slowking.gif'}"
216,Misdreavus,Ghost,Normal,60,60,60,85,85,85,2,False,7,10,87,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/misdreavus.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/misdreavus.gif'}"
217,Unown,Psychic,Normal,48,72,48,72,48,48,2,False,5,50,118,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/unown.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/unown.gif'}"
218,Wobbuffet,Psychic,Normal,190,33,58,33,58,33,2,False,13,285,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/wobbuffet.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/wobbuffet.gif'}"
219,Girafarig,Normal,Psychic,70,80,65,90,65,85,2,False,15,415,159,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/girafarig.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/girafarig.gif'}"
220,Pineco,Bug,Normal,50,65,90,35,35,15,2,False,6,72,58,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/pineco.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/pineco.gif'}"
221,Forretress,Bug,Steel,75,90,140,60,60,40,2,False,12,1258,163,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/forretress.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/forretress.gif'}"
222,Dunsparce,Normal,Normal,100,70,70,65,65,45,2,False,15,140,145,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/dunsparce.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/dunsparce.gif'}"
223,Gligar,Ground,Flying,65,75,105,35,65,85,2,False,11,648,86,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/gligar.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/gligar.gif'}"
224,Steelix,Steel,Ground,75,85,200,55,65,30,2,False,92,4000,179,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/steelix.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/steelix.gif'}"
226,Snubbull,Fairy,Normal,60,80,50,40,40,30,2,False,6,78,60,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/snubbull.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/snubbull.gif'}"
227,Granbull,Fairy,Normal,90,120,75,60,60,45,2,False,14,487,158,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/granbull.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/granbull.gif'}"
228,Qwilfish,Water,Poison,65,95,75,55,55,85,2,False,5,39,88,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/qwilfish.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/qwilfish.gif'}"
229,Scizor,Bug,Steel,70,130,100,55,80,65,2,False,18,1180,175,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/scizor.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/scizor.gif'}"
231,Shuckle,Bug,Rock,20,10,230,10,230,5,2,False,6,205,177,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/shuckle.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/shuckle.gif'}"
232,Heracross,Bug,Fighting,80,125,75,40,95,85,2,False,15,540,175,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/heracross.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/heracross.gif'}"
234,Sneasel,Dark,Ice,55,95,55,35,75,115,2,False,9,280,86,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/sneasel.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/sneasel.gif'}"
235,Teddiursa,Normal,Normal,60,80,50,50,50,40,2,False,6,88,66,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/teddiursa.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/teddiursa.gif'}"
236,Ursaring,Normal,Normal,90,130,75,75,75,55,2,False,18,1258,175,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/ursaring.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/ursaring.gif'}"
237,Slugma,Fire,Normal,40,40,40,70,40,20,2,False,7,350,50,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/slugma.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/slugma.gif'}"
238,Magcargo,Fire,Rock,50,50,120,80,80,30,2,False,8,550,151,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/magcargo.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/magcargo.gif'}"
239,Swinub,Ice,Ground,50,50,40,30,30,50,2,False,4,65,50,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/swinub.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/swinub.gif'}"
240,Piloswine,Ice,Ground,100,100,80,60,60,50,2,False,11,558,158,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/piloswine.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/piloswine.gif'}"
241,Corsola,Water,Rock,55,55,85,65,85,35,2,False,6,50,144,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/corsola.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/corsola.gif'}"
242,Remoraid,Water,Normal,35,65,35,65,35,65,2,False,6,120,60,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/remoraid.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/remoraid.gif'}"
243,Octillery,Water,Normal,75,105,75,105,75,45,2,False,9,285,168,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/octillery.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/octillery.gif'}"
244,Delibird,Ice,Flying,45,55,45,65,45,75,2,False,9,160,116,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/delibird.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/delibird.gif'}"
245,Mantine,Water,Flying,65,40,70,80,140,70,2,False,21,2200,170,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/mantine.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/mantine.gif'}"
246,Skarmory,Steel,Flying,65,80,140,40,70,70,2,False,17,505,163,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/skarmory.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/skarmory.gif'}"
247,Houndour,Dark,Fire,45,60,30,80,50,65,2,False,6,108,66,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/houndour.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/houndour.gif'}"
248,Houndoom,Dark,Fire,75,90,50,110,80,95,2,False,14,350,175,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/houndoom.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/houndoom.gif'}"
250,Kingdra,Water,Dragon,75,95,95,95,95,85,2,False,18,1520,243,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/kingdra.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/kingdra.gif'}"
251,Phanpy,Ground,Normal,90,60,60,40,40,40,2,False,5,335,66,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/phanpy.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/phanpy.gif'}"
252,Donphan,Ground,Normal,90,120,120,60,60,50,2,False,11,1200,175,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/donphan.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/donphan.gif'}"
253,Porygon2,Normal,Normal,85,80,90,105,95,60,2,False,6,325,180,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/porygon2.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/porygon2.gif'}"
254,Stantler,Normal,Normal,73,95,62,85,65,85,2,False,14,712,163,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/stantler.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/stantler.gif'}"
255,Smeargle,Normal,Normal,55,20,35,20,45,75,2,False,12,580,88,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/smeargle.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/smeargle.gif'}"
256,Tyrogue,Fighting,Normal,35,35,35,35,35,35,2,False,7,210,42,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/tyrogue.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/tyrogue.gif'}"
257,Hitmontop,Fighting,Normal,50,95,95,35,110,70,2,False,14,480,159,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/hitmontop.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/hitmontop.gif'}"
